Carat,Clarity,Color,Rate
3,VVS2,D,7485912
3,VVS2,E,7075824
3,VVS2,F,6653976
3,VVS2,G,5836320
3,VVS2,H,4263840
2,VVS2,D,2610300
2,VVS2,E,2419200
2,VVS2,F,2326464
2,VVS2,G,2036160
2,VVS2,H,1812384
1.5,VVS2,D,1358700
1.5,VVS2,E,1259328
1.5,VVS2,F,1227744
1.5,VVS2,G,1071840
1.5,VVS2,H,804720
1,VVS2,D,645120
1,VVS2,E,525336
1,VVS2,F,515424
1,VVS2,G,500472
1,VVS2,H,447468
3,VVS1,D,8491392
3,VVS1,E,7710864
3,VVS1,F,7499520
3,VVS1,G,6196176
3,VVS1,H,4387824
2,VVS1,D,2846592
2,VVS1,E,2783928
2,VVS1,F,2542176
2,VVS1,G,2118816
2,VVS1,H,1931160
1.5,VVS1,D,1557360
1.5,VVS1,E,1490496
1.5,VVS1,F,1270080
1.5,VVS1,G,1150632
1.5,VVS1,H,813288
1,VVS1,D,735840
1,VVS1,E,664104
1,VVS1,F,567000
1,VVS1,G,530712
1,VVS1,H,466872
3,VS2,F,5385408
3,VS2,G,5255712
3,VS2,D,4839576
3,VS2,E,4819668
3,VS2,H,3613680
2,VS2,E,2076480
2,VS2,D,2022468
2,VS2,F,1957536
2,VS2,G,1773912
2,VS2,H,1552320
1.5,VS2,D,1189356
1.5,VS2,E,1064448
1.5,VS2,F,1031184
1.5,VS2,G,966588
1.5,VS2,H,743568
1,VS2,D,519120
1,VS2,E,490644
1,VS2,F,478548
1,VS2,G,460152
1,VS2,H,417984
3,VS1,F,5862948
3,VS1,D,5783064
3,VS1,G,5473440
3,VS1,E,5089392
3,VS1,H,4082400
2,VS1,D,2196264
2,VS1,E,2177280
2,VS1,F,2086560
2,VS1,G,1872276
2,VS1,H,1651104
1.5,VS1,E,1205820
1.5,VS1,F,1186920
1.5,VS1,D,1179360
1.5,VS1,G,1033872
1.5,VS1,H,777168
1,VS1,D,568512
1,VS1,E,530292
1,VS1,F,513408
1,VS1,G,479976
1,VS1,H,423948
3,SI1,D,4325496
3,SI1,E,4124148
3,SI1,F,3964128
3,SI1,G,3928176
3,SI1,H,3084480
2,SI1,D,1809696
2,SI1,E,1754340
2,SI1,F,1608180
2,SI1,G,1576260
2,SI1,H,1470000
1.5,SI1,D,1022868
1.5,SI1,E,992124
1.5,SI1,F,904260
1.5,SI1,G,878304
1.5,SI1,H,699384
1,SI1,D,465780
1,SI1,E,456960
1,SI1,F,450492
1,SI1,G,439068
1,SI1,H,389004
3,IF,D,9337776
3,IF,E,8717856
3,IF,F,8226456
3,IF,G,6622224
3,IF,H,4747680
2,IF,D,3144960
2,IF,E,3030048
2,IF,F,2661120
2,IF,G,2257920
2,IF,H,1943424
1.5,IF,D,1791720
1.5,IF,E,1557360
1.5,IF,F,1285200
1.5,IF,G,1155000
1.5,IF,H,893760
1,IF,D,855792
1,IF,E,723576
1,IF,F,574560
1,IF,G,556920
1,IF,H,495348
3,FL,D,12446784
3,FL,E,9573060
3,FL,F,8634024
3,FL,G,6898164
3,FL,H,4868640
2,FL,D,4193280
2,FL,E,3787560
2,FL,F,3104640
2,FL,G,2540160
1.5,FL,D,2209788
2,FL,H,2137800
1.5,FL,E,1790964
1.5,FL,F,1445892
1.5,FL,G,1251264
1,FL,D,1034124
1.5,FL,H,968184
1,FL,E,858480
1,FL,F,660744
1,FL,G,637224
1,FL,H,558852
